item_name,synonym
"AMAX LIGHTING 120-Volt 11 in. Electronic Ballast 2-F17T8,2-F20T8,2-F25T8,2-F30T10,2-F32T8,2-F34T8,2-F40T10,2-F40T12 Lamps","amax lighting 120-volt 11 in. electronic ballast 2-f17t8,2-f20t8,2-f25t8,2-f30t10,2-f32t8,2-f34t8,2-f40t10,2-f40t12 lamps"
AMAX LIGHTING 120-Volt 4.13 in. Electronic Ballast 1 Lamp FC8T9/T5,amax lighting 120-volt 4.13 in. electronic ballast 1 lamp fc8t9/t5
AMAX LIGHTING 120-Volt 5.13 in. Electronic Ballast 2-PLC 18-Watt Lamps,amax lighting 120-volt 5.13 in. electronic ballast 2-plc 18-watt lamps
AMAX LIGHTING 120-Volt 5.13 in. Electronic Ballast 2-PLC 26-Watt Lamps,amax lighting 120-volt 5.13 in. electronic ballast 2-plc 26-watt lamps
AMAX LIGHTING 120-Volt 6.63 in. Electronic Ballast 2-PL 13-Watt Lamps,amax lighting 120-volt 6.63 in. electronic ballast 2-pl 13-watt lamps
Adopters and flat led lights,adopters and flat led lights
Agreed Amount,agreed amount
Agreed Rate,agreed rate
Agreed upon price,agreed upon price
AlumiConn 3-Port Al/Cu Wire Connectors (10-Pack),alumiconn 3-port al/cu wire connectors (10-pack)
Assessment and wiring.,assessment and wiring.
BALLAST-MAIN FLOOR,ballast-main floor
BALLAST-WOMEMS RR,ballast-womems rr
BALLASTS QHE4x32 UNV 120-277,ballasts qhe4x32 unv 120-277
BATTERY PACK-LARGE,battery pack-large
BATTERY PACK-SMALL,battery pack-small
BLUE WIRE NUTS,blue wire nuts
BLUE WIRENUTS,blue wirenuts
Ballast,ballast
Ballast 277v t8,ballast 277v t8
Ballast 39w,ballast 39w
Ballast gx24q-3,ballast gx24q-3
Ballast installation,ballast installation
Ballast replace,ballast replace
Ballast t8 4 bulb,ballast t8 4 bulb
Ballast transformer,ballast transformer
Ballasts,ballasts
Ballasts 32w,ballasts 32w
Ballasts 8,ballasts 8
Balllast x2,balllast x2
Bla k junction. Box 4 in,bla k junction. box 4 in
CFL ballast,cfl ballast
CUMC 250',cumc 250'
Can light ballast,can light ballast
"Commercial Electric Standard Wire Connector, Assortment (30-Pack)","commercial electric standard wire connector, assortment (30-pack)"
Complete light fixture 4 pin,complete light fixture 4 pin
Conduit,conduit
Contactor casing,contactor casing
Contactors,contactors
"Defiant 270° Replacement Sensor, White","defiant 270° replacement sensor, white"
Dressing room led lamp,dressing room led lamp
Elco Lighting 6 Cedar System Remodel Housing w/Driver,elco lighting 6 cedar system remodel housing w/driver
Electrical & Misc.,electrical & misc.
"Electrical (wirenuts, tape, spades)","electrical (wirenuts, tape, spades)"
Electrical Connectors,electrical connectors
Electrical Tape Black & Red,electrical tape black & red
Electrical Wire,electrical wire
Electrical and Misc.,electrical and misc.
Electrical wirenuts/tape,electrical wirenuts/tape
Electronic Ballast 42W,electronic ballast 42w
Electronic ballast,electronic ballast
Electronic ballast 4 lamps,electronic ballast 4 lamps
"Electronic ballast for 2×32W T8 lamps (F32T8), 4 ft, 120–277V, high power factor","electronic ballast for 2×32w t8 lamps (f32t8), 4 ft, 120–277v, high power factor"
"Electronic ballast for 2×36W PLL lamps, 2G11 base, 120–277V, programmed start","electronic ballast for 2×36w pll lamps, 2g11 base, 120–277v, programmed start"
Exit sign,exit sign
Exit sign fixture 277v,exit sign fixture 277v
F28 T5 ballast,f28 t5 ballast
F32 T8 41K HLEC BULB,f32 t8 41k hlec bulb
Feit Linear PL GX24Q-3 4-Pin LED Bulb Bright White 32 Watt Equivalence,feit linear pl gx24q-3 4-pin led bulb bright white 32 watt equivalence
Fixture fitting /w.caps,fixture fitting /w.caps
Fluorescent light,fluorescent light
Fluorescent sockets,fluorescent sockets
Fulham 128-Watt 120-Volt Fluorescent Replacement Electronic Ballast,fulham 128-watt 120-volt fluorescent replacement electronic ballast
"Fuses, wires and wire nuts","fuses, wires and wire nuts"
GE 2 LAMPS F32 T8 ELECTRONIC BALLAST,ge 2 lamps f32 t8 electronic ballast
GE 4 LAMPS F32 T8 ELECTRONIC BALLAST,ge 4 lamps f32 t8 electronic ballast
GE 4 LAMPS F32 T8 HIGH PERFORMING ELECTRONIC BALLAST,ge 4 lamps f32 t8 high performing electronic ballast
GE 432 MAXH/ULTRA,ge 432 maxh/ultra
GE Magnetric contactor,ge magnetric contactor
GE lighting magnetic contactor,ge lighting magnetic contactor
GX24q-5Base - 41000 - sku: FC57-146332,gx24q-5base - 41000 - sku: fc57-146332
H E L P E R,h e l p e r
HID 100 watt ballast,hid 100 watt ballast
ICN 2P32 N UNV,icn 2p32 n unv
IDEAL 33 Orange In-Sure 3-Port Connectors (100-Pack),ideal 33 orange in-sure 3-port connectors (100-pack)
Jbox and fittings,jbox and fittings
Jesco Lighting -WT 8-Ft Single Circuit H Track - White,jesco lighting -wt 8-ft single circuit h track - white
Jesco Lighting Classic Series Fluorescent Track fixture,jesco lighting classic series fluorescent track fixture
Jesco SG5 4000k light fixture,jesco sg5 4000k light fixture
Jesco sleek lights SG5-28-41,jesco sleek lights sg5-28-41
L A B O R,l a b o r
LED Flat panel,led flat panel
LED Parking Lot Area Light 1000-Watt Equivalent Integrated LED Pole Light Pole Light Fixture LED built in,led parking lot area light 1000-watt equivalent integrated led pole light pole light fixture led built in
LED Tubes,led tubes
LED driver,led driver
LED light fixture,led light fixture
Labr for 2nd visit,labr for 2nd visit
Lamp holder,lamp holder
Lamp holders,lamp holders
